tenure,msf_with_vat,credit_rating,credit_limit,days_remaining,ooc_tag,area_group,handset_type,dos,total_rev_amt_m0,ob_onnet_call_min_m0,ob_globe_call_min_m0,ob_sun_call_min_m0,ob_oth_call_min_m0,ob_intl_call_min_m0,ib_onnet_call_min_m0,ib_globe_call_min_m0,ib_sun_call_min_m0,ib_oth_call_min_m0,ib_intl_call_min_m0,sms_onnet_m0,sms_offnet_m0,sms_intl_m0,data_vol_mb_m0,total_rev_amt_l3m,ob_onnet_call_min_l3m,ob_globe_call_min_l3m,ob_sun_call_min_l3m,ob_oth_call_min_l3m,ob_intl_call_min_l3m,ib_onnet_call_min_l3m,ib_globe_call_min_l3m,ib_sun_call_min_l3m,ib_oth_call_min_l3m,ib_intl_call_min_l3m,sms_onnet_l3m,sms_offnet_l3m,sms_intl_l3m,data_vol_mb_l3m,sr_count_l3m,bill_amt_m0,bill_amt_m1,bill_amt_m2,paid_amt_m0,paid_amt_m1,paid_amt_m2,payment_l3m,churn_inactive_flag_m1
91.73333333,0,10900,200.0,0,1,\N,\N,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
92.6,0,10900,200.0,0,1,\N,\N,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
95.23333333,0,10900,200.0,0,1,VIS,FEATUREPHONE NON DATA CBL,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333,0.0,0.0,0,-8.0,-8.0,-9.0,0.0,0.0,0.0,0,0
91.56666667,0,10900,200.0,0,1,\N,\N,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
90.7,0,10900,200.0,0,1,\N,\N,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
92.63333333,0,10900,200.0,0,1,\N,\N,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
96.53333333,0,10900,200.0,0,1,\N,\N,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
97.46666667,0,10900,200.0,0,1,\N,\N,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
90.63333333,0,10900,200.0,0,1,\N,\N,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
95.8,0,10900,200.0,0,1,VIS,DONGLE LTE,31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333,0.0,0.0,-0.0006809234619,2,-0.35,70.65,425.32,0.0,71.0,425.42,2,0
97.26666667,0,10900,200.0,0,1,NL,SMARTPHONE LTE,17,1.0,0.0,0.0,0.0,0.0,0.0,2.5065,0.0,0.0,0.0,0.0,2,0,0,0.0,-9.0,0.0,0.0,0.0,-0.08911111,0.0,0.4258333367,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0.0,0,30.39,21.89,1.39,40.0,0.0,0.0,1,0
155.2666667,150,10900,200.0,0,1,NCR,SMARTPHONE LTE,8,150.0,0.0,2.20133333,0.0,0.0,0.0,0.54916667,0.612,0.0,0.0,0.0,3,2,0,0.002451896667,0.0,-0.2186666667,1.35961111,0.0,0.0,0.0,-0.09377777667,-0.05455555667,0.0,0.0,0.0,-3.666666667,-0.6666666667,0.0,0.0005025863647,4,151.89,151.89,151.89,151.89,150.0,150.0,3,0
111.9666667,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,0,160.03,0.1815,0.0,0.0,4.03516667,0.0,0.0,6.70116667,0.0,0.0,0.0,9,2,0,0.0,77.37333333,-0.17377778,-0.4715,0.0,-2.450777777,0.0,-11.78144444,-4.106888887,-0.47888889,0.0,0.0,-4.0,-2.333333333,0.0,0.0,0,-125.91,48.65,86.15,0.0,200.0,100.0,2,0
75.9,0,10900,200.0,0,1,NCR,SMARTPHONE 3G,0,30.45,0.9705,0.0,0.0,0.0,0.0,7.56016666,0.0,0.0,0.26833333,0.0,7,2,0,0.0,9.976666667,0.30211111,0.0,0.0,0.0,0.0,0.2774999967,0.0,0.0,-0.67466667,0.0,2.0,-0.3333333333,0.0,0.0,0,-198.93,-201.92,187.53,0.0,0.0,417.43,1,0
100.5333333,0,10900,200.0,0,1,SL,SMARTPHONE LTE,1,132.92,1.19433333,2.52616667,0.0,4.9625,0.0,3.88549999,1.05183333,0.0,0.65633333,0.0,4,22,0,0.0,8.17,0.23483333,1.447222223,0.0,1.147166667,0.0,1.30305555,-0.1932222233,0.0,0.34033333,0.0,1.0,13.33333333,0.0,-6.509715398,0,5.98,235.35,276.81,5.98,235.35,276.81,3,0
77.96666667,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,3,32.89,0.0,0.0,0.0,0.0,0.0,33.28516667,35.00966667,0.0,53.7225,0.0,28,17,0,0.0,-154.1966667,-2.372111113,-0.2737222233,0.0,0.0,0.0,22.19011111,16.95733333,0.0,19.69083334,0.0,14.33333333,-7.333333333,0.0,-8.710206668,4,113.37,160.32,97.11,0.0,415.0,97.11,2,0
73.83333333,0,10900,200.0,0,1,VIS,SMARTPHONE LTE,1,272.79,5.46666666,2.26666667,0.0,0.73333333,0.0,5.45,9.05,0.0,0.96666667,0.0,2,8,0,0.005583763123,-59.41,3.64444444,0.9444444467,0.0,-0.2111111133,0.0,3.505555557,6.033333333,0.0,-2.73333333,0.0,0.6666666667,3.333333333,0.0,-11.9326067,4,493.0,221.27,506.19,700.0,230.0,507.0,3,0
99.0,0,10900,200.0,0,1,VIS,DONGLE LTE,31,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.518156687,0,-103.06,-103.06,-3.06,0.0,0.0,100.0,1,0
101.5666667,0,10900,200.0,0,1,SL,SMARTPHONE LTE,0,136.91,0.0,3.95483333,0.0,1.226,0.0,3.21716667,1.33216667,0.0,0.0,0.0,11,16,0,0.0,44.97333333,-0.9595,1.557611107,0.0,-1.111722223,0.0,-0.43766666,-0.35694444,0.0,-0.316,0.0,4.666666667,2.0,0.0,0.0,0,132.92,5.98,235.35,132.92,5.98,235.35,3,0
93.03333333,0,10900,200.0,0,1,VIS,SMARTPHONE LTE,4,213.37,0.0,0.0,0.0,4.98333334,0.0,1.83333333,0.0,0.0,18.03333333,0.0,4,0,0,0.06862354279,103.4433333,0.0,-0.8,0.0,-4.91111111,0.0,1.16111111,0.0,-7.205555557,-4.372222217,0.0,-1.333333333,-0.6666666667,0.0,-20.83378124,3,105.91,-3.01,-10.5,0.0,0.0,0.0,0,0
170.4,0,10900,200.0,0,1,NCR,SMARTPHONE 3G,12,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1243047714,-56.95333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666667,0.0,0.0,0.06536610921,1,-84.92,149.86,375.64,0.0,299.72,375.64,2,0
96.5,0,10900,200.0,0,1,SL,TABLET LTE,0,177.33,0.2075,0.0,0.0,0.0,0.0,1.66533333,0.0,0.0,0.0,0.0,4,0,0,929.7607422,29.97333333,0.1383333333,0.0,0.0,0.0,0.0,-0.2636666667,0.0,0.0,0.0,0.0,2.333333333,0.0,0.0,357.6151349,4,260.75,3.99,28.47,260.75,3.99,28.47,3,0
76.93333333,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,13,368.05,4.75066667,0.0,0.0,0.0,0.0,0.0,5.526,0.0,17.08166666,0.0,2,49,0,2.049221039,169.46,1.276111113,-0.2737222233,0.0,0.0,0.0,-1.300833333,-0.8564444467,0.0,-21.24911111,0.0,-4.0,26.0,0.0,-6.660985629,3,160.32,97.11,29.71,415.0,97.11,0.0,2,0
105.4,0,10900,200.0,0,1,NCR,SMARTPHONE LTE,3,43.1,0.0,0.0,0.0,0.0,0.0,0.35966667,0.0,0.0,0.0,0.0,10,13,0,0.0,-15.73333333,-0.12338889,0.0,0.0,0.0,0.0,-0.61994444,0.0,0.0,-0.69438889,0.0,-5.666666667,1.666666667,0.0,0.0,5,77.34,155.79,97.91,77.34,155.79,0.0,2,0
86.63333333,0,10900,200.0,0,1,NCR,FEATUREPHONE NON DATA CBL,20,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666667,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,1.0,0.0,2,0
